"","vle_material_id","module_id","presentation_id","vle_resource_type"
"1",546943,"AAA","2013J","resource"
"2",546712,"AAA","2013J","oucontent"
"3",546998,"AAA","2013J","resource"
"4",546888,"AAA","2013J","url"
"5",547035,"AAA","2013J","resource"
"6",546614,"AAA","2013J","homepage"
"7",546897,"AAA","2013J","url"
"8",546678,"AAA","2013J","oucontent"
"9",546933,"AAA","2013J","resource"
"10",546708,"AAA","2013J","oucontent"
"11",546995,"AAA","2013J","resource"
"12",546884,"AAA","2013J","url"
"13",547031,"AAA","2013J","resource"
"14",546891,"AAA","2013J","url"
"15",546675,"AAA","2013J","oucontent"
"16",546927,"AAA","2013J","resource"
"17",546705,"AAA","2013J","oucontent"
"18",546991,"AAA","2013J","resource"
"19",546876,"AAA","2013J","subpage"
"20",547027,"AAA","2013J","resource"
"21",546671,"AAA","2013J","oucontent"
"22",546923,"AAA","2013J","resource"
"23",546702,"AAA","2013J","oucontent"
"24",546988,"AAA","2013J","resource"
"25",546872,"AAA","2013J","subpage"
"26",547024,"AAA","2013J","resource"
"27",546668,"AAA","2013J","oucontent"
"28",546920,"AAA","2013J","resource"
"29",546699,"AAA","2013J","oucontent"
"30",546985,"AAA","2013J","resource"
"31",546739,"AAA","2013J","oucontent"
"32",547021,"AAA","2013J","resource"
"33",546665,"AAA","2013J","oucontent"
"34",546917,"AAA","2013J","resource"
"35",546695,"AAA","2013J","oucontent"
"36",546982,"AAA","2013J","resource"
"37",546736,"AAA","2013J","oucontent"
"38",547018,"AAA","2013J","resource"
"39",546661,"AAA","2013J","glossary"
"40",546692,"AAA","2013J","oucontent"
"41",546972,"AAA","2013J","resource"
"42",546733,"AAA","2013J","oucontent"
"43",547014,"AAA","2013J","resource"
"44",546658,"AAA","2013J","forumng"
"45",546914,"AAA","2013J","resource"
"46",546689,"AAA","2013J","oucontent"
"47",546968,"AAA","2013J","resource"
"48",546728,"AAA","2013J","oucontent"
"49",547011,"AAA","2013J","resource"
"50",547066,"AAA","2013J","oucollaborate"
"51",546655,"AAA","2013J","forumng"
"52",546910,"AAA","2013J","resource"
"53",546686,"AAA","2013J","oucontent"
"54",546961,"AAA","2013J","resource"
"55",546723,"AAA","2013J","oucontent"
"56",547007,"AAA","2013J","resource"
"57",547048,"AAA","2013J","dataplus"
"58",546652,"AAA","2013J","forumng"
"59",546906,"AAA","2013J","resource"
"60",546954,"AAA","2013J","resource"
"61",546717,"AAA","2013J","oucontent"
"62",547004,"AAA","2013J","resource"
"63",547042,"AAA","2013J","resource"
"64",546649,"AAA","2013J","forumng"
"65",546903,"AAA","2013J","url"
"66",546683,"AAA","2013J","oucontent"
"67",546948,"AAA","2013J","resource"
"68",546714,"AAA","2013J","oucontent"
"69",547001,"AAA","2013J","resource"
"70",547037,"AAA","2013J","resource"
"71",546645,"AAA","2013J","forumng"
"72",546899,"AAA","2013J","url"
"73",546680,"AAA","2013J","oucontent"
"74",546942,"AAA","2013J","resource"
"75",546711,"AAA","2013J","oucontent"
"76",546997,"AAA","2013J","resource"
"77",546887,"AAA","2013J","url"
"78",547034,"AAA","2013J","resource"
"79",546896,"AAA","2013J","url"
"80",546677,"AAA","2013J","oucontent"
"81",546930,"AAA","2013J","resource"
"82",546707,"AAA","2013J","oucontent"
"83",546994,"AAA","2013J","resource"
"84",546883,"AAA","2013J","url"
"85",547030,"AAA","2013J","resource"
"86",546890,"AAA","2013J","url"
"87",546674,"AAA","2013J","oucontent"
"88",546925,"AAA","2013J","resource"
"89",546704,"AAA","2013J","oucontent"
"90",546990,"AAA","2013J","resource"
"91",546874,"AAA","2013J","subpage"
"92",547026,"AAA","2013J","resource"
"93",546670,"AAA","2013J","oucontent"
"94",546922,"AAA","2013J","resource"
"95",546701,"AAA","2013J","oucontent"
"96",546987,"AAA","2013J","resource"
"97",546871,"AAA","2013J","subpage"
"98",547023,"AAA","2013J","resource"
"99",546667,"AAA","2013J","oucontent"
