"","student_id","group_ids_together","grade","numerical_grade_equivalent"
"1",6516,"AAA, 2014J","P",4
"2",8462,"DDD, 2013J","WNF",NA
"3",8462,"DDD, 2014J","WNF",NA
"4",11391,"AAA, 2013J","D",6
"5",23629,"BBB, 2013B","Cr",5
"6",23698,"CCC, 2014J","Cr",5
"7",23798,"BBB, 2013J","HD",7
"8",24186,"GGG, 2014B","P",4
"9",24213,"DDD, 2014B","Cr",5
"10",24391,"GGG, 2013J","HD",7
"11",24734,"AAA, 2014J","F",1.5
"12",25107,"BBB, 2013B","P",4
"13",25150,"EEE, 2014B","D",6
"14",25261,"CCC, 2014J","WNF",NA
"15",25572,"DDD, 2014J","WNF",NA
"16",25997,"BBB, 2014B","WNF",NA
"17",26023,"GGG, 2013J","HD",7
"18",26192,"AAA, 2014J","HD",7
"19",26211,"FFF, 2014B","D",6
"20",26247,"FFF, 2013J","HD",7
"21",26315,"BBB, 2014J","P",4
"22",26734,"BBB, 2014J","P",4
"23",27116,"CCC, 2014J","HD",7
"24",27189,"FFF, 2014B","F",1.5
"25",27417,"DDD, 2013J","WNF",NA
"26",27417,"DDD, 2014J","WNF",NA
"27",27683,"FFF, 2014B","Cr",5
"28",27759,"BBB, 2013J","P",4
"29",27780,"EEE, 2014B","P",4
"30",27891,"BBB, 2013B","WNF",NA
"31",27891,"BBB, 2014B","P",4
"32",27935,"DDD, 2013J","D",6
"33",28046,"DDD, 2013J","F",1.5
"34",28061,"AAA, 2014J","D",6
"35",28400,"AAA, 2013J","Cr",5
"36",28418,"CCC, 2014B","F",1.5
"37",28787,"CCC, 2014J","F",1.5
"38",28808,"FFF, 2014B","Cr",5
"39",28897,"FFF, 2014B","HD",7
"40",28952,"CCC, 2014J","WNF",NA
"41",29144,"BBB, 2013B","Cr",5
"42",29335,"FFF, 2013J","HD",7
"43",29411,"CCC, 2014J","WNF",NA
"44",29411,"DDD, 2013J","Cr",5
"45",29420,"CCC, 2014J","Cr",5
"46",29639,"CCC, 2014J","D",6
"47",29639,"EEE, 2014B","D",6
